,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
2023-07-23 00:45:21+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-18 18:00:00+02:00,dBGqg_02GVk5fniCbexKBQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-18 07:00:00+02:00
2023-07-23 00:45:26+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,G7-F8hfLosiC5qwk8iXrEQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-25 00:46:03+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,uyGw-1Q3xz0Uj_YY9uk_Jg,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-27 00:45:27+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,8SXAc_kT6CoC6W2WqpOvWw,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-08-01 00:44:46+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,tFc0byV9MN84Eq_fzJ9pGw,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-08-05 00:16:01+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-15 18:00:00+02:00,mVEndIWOZYsj9Hh18VuE9Q,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-15 07:00:00+02:00
2023-08-05 00:43:33+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,xcHrTERhvZ-Z_jGsuZ5OfA,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-08-05 00:43:48+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-18 18:00:00+02:00,ekIKI2F5GY8nShF78d8FdQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-18 07:00:00+02:00
2023-08-07 00:44:28+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,F1c2x1Gwe6OadONKfGPGfQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-08-09 00:45:02+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,_TLU3ye9vuHK4E__8JS3Tw,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
